State,Year,State_Year,Percent_Allocation
MAINE,2011,MAINE 2011,0.010904746
MAINE,2012,MAINE 2012,0.010103025
MAINE,2013,MAINE 2013,0.009273582
MAINE,2014,MAINE 2014,0.01041446
MAINE,2015,MAINE 2015,0.010519927
MAINE,2016,MAINE 2016,0.01065806
MAINE,2017,MAINE 2017,0.010621934
MAINE,2018,MAINE 2018,0.010246714
MAINE,2019,MAINE 2019,0.009356204
MARYLAND,2006,MARYLAND 2006,0.026993387
MARYLAND,2007,MARYLAND 2007,0.024207232
MARYLAND,2008,MARYLAND 2008,0.026350082
MARYLAND,2009,MARYLAND 2009,0.026516028
MARYLAND,2010,MARYLAND 2010,0.019652195
MARYLAND,2011,MARYLAND 2011,0.020802029
MARYLAND,2012,MARYLAND 2012,0.021966998
MARYLAND,2013,MARYLAND 2013,0.023439491
MARYLAND,2014,MARYLAND 2014,0.021931646
MARYLAND,2015,MARYLAND 2015,0.022058133
MARYLAND,2016,MARYLAND 2016,0.023468437
MARYLAND,2017,MARYLAND 2017,0.024077443
MARYLAND,2018,MARYLAND 2018,0.024862151
MARYLAND,2019,MARYLAND 2019,0.023709335
MASSACHUSETTS,2006,MASSACHUSETTS 2006,0.031170679
MASSACHUSETTS,2007,MASSACHUSETTS 2007,0.030433461
MASSACHUSETTS,2008,MASSACHUSETTS 2008,0.032820665
MASSACHUSETTS,2009,MASSACHUSETTS 2009,0.033109918
MASSACHUSETTS,2010,MASSACHUSETTS 2010,0.037572226
MASSACHUSETTS,2011,MASSACHUSETTS 2011,0.037180791
MASSACHUSETTS,2012,MASSACHUSETTS 2012,0.037298668
MASSACHUSETTS,2013,MASSACHUSETTS 2013,0.040318107
MASSACHUSETTS,2014,MASSACHUSETTS 2014,0.041377575
MASSACHUSETTS,2015,MASSACHUSETTS 2015,0.043952566
MASSACHUSETTS,2016,MASSACHUSETTS 2016,0.045010421
MASSACHUSETTS,2017,MASSACHUSETTS 2017,0.044066715
MASSACHUSETTS,2018,MASSACHUSETTS 2018,0.040500877
MASSACHUSETTS,2019,MASSACHUSETTS 2019,0.036059047
MICHIGAN,2006,MICHIGAN 2006,0.039398428
MICHIGAN,2007,MICHIGAN 2007,0.046507281
MICHIGAN,2008,MICHIGAN 2008,0.046203883
MICHIGAN,2009,MICHIGAN 2009,0.046451141
MICHIGAN,2010,MICHIGAN 2010,0.050404142
MICHIGAN,2011,MICHIGAN 2011,0.048191205
MICHIGAN,2012,MICHIGAN 2012,0.048627113
MICHIGAN,2013,MICHIGAN 2013,0.049659535
MICHIGAN,2014,MICHIGAN 2014,0.046805006
MICHIGAN,2015,MICHIGAN 2015,0.045349262
MICHIGAN,2016,MICHIGAN 2016,0.04357246
MICHIGAN,2017,MICHIGAN 2017,0.041475809
MICHIGAN,2018,MICHIGAN 2018,0.040133761
MICHIGAN,2019,MICHIGAN 2019,0.04248562
MINNESOTA,2006,MINNESOTA 2006,0.017823142
