Fiscal Year,Grantee,State,Total Program Funding,Income Eligible Fed,Income Eligible State,CLRCB,CLRCV,DFRCB,DFRCV,ESRCB,ESRCV,HLRCB,HLRCV,KSRCB,KSRCV,NGRCB,NGRCV,PARCB,PARCV,PQRCB,PQRCV,TERCB,TERCV
2016,Maine,ME,39789284,175531,135773,0,0,30611,487.5,15647,725.7,6549,157.8,1899,25.6,2642,35.5,39058,670.8,6549,157.8,96504,1490.6
2016,Maryland,MD,78314297,661791,393424,0,0,11548,195,93205,3886.4,6354,181.4,265,3.6,79917,876.8,18167,379.9,6354,181.4,407745,5156.4
2016,Massachusetts,MA,148860134,859731,859731,0,0,64658,1037,67192,3741.9,7551,257.8,296,4,115469,1396.5,72506,1298.8,7551,257.8,396565,6466.4
2016,Michigan,MI,163502380,1180137,603886,0,0,2652,41.1,117862,5258.1,34706,633.9,164,2.2,306724,2415,37521,677.2,34706,633.9,731441,8418.8
2016,Minnesota,MN,123964693,623763,495622,0,0,4556,71.2,74395,2762.8,20280,280.9,73,1,121709,942,24909,353,20280,280.9,375714,4091.4
2016,Mississippi,MS,29000514,367054,353051,0,0,1,0,62982,1932,5235,125.6,17,0.2,20734,203.1,5253,125.8,5235,125.6,187688,2264.4
2016,Missouri,MO,79211474,711241,483564,0,0,113,1.7,117219,3850.7,13903,194.8,62,0.8,89275,954.7,14078,197.4,13903,194.8,493172,5038.6
2016,Montana,MT,20847267,121517,121517,0,0,388,4.8,16557,530.7,6182,111.9,5,0.1,19749,138.9,6574,116.8,6182,111.9,88865,831.3
2016,Nebraska,NE,32028489,207659,124782,0,0,76,1.2,33227,1055.6,5529,65,6,0.1,34992,264.7,5611,66.2,5529,65,148472,1391.7
2016,Nevada,NV,10391661,263360,224662,0,0,221,3.7,43305,1447.6,2037,52.1,2,0,40678,399.7,2260,55.8,2037,52.1,158158,1910.5
2016,New Hampshire,NH,26835215,150662,112830,0,0,20185,304.7,15144,815.8,10085,294.3,585,7.5,7068,97.8,30854,606.5,10085,294.3,94267,1555.4
2016,New Jersey,NJ,129756202,1058924,767353,0,0,18748,319.6,99258,4573.8,3982,135.2,55,0.8,224984,1788.7,22786,455.5,3982,135.2,538870,6827.5
2016,New Mexico,NM,19107209,226427,224825,0,0,6,0.1,22664,799.3,4831,107.9,0,0,34005,262.2,4838,108,4831,107.9,117677,1206.1
2016,New York,NY,364193006,2357917,2357917,0,0,89296,1479.5,173436,8933.6,21238,574.3,3415,45.3,425563,4471.1,113949,2099.1,21238,574.3,1053881,15606.6
2016,North Carolina,NC,93583856,1140173,816853,0,0,7502,114.9,199455,6446.1,14836,381.7,1239,16.6,66775,730,23577,513.1,14836,381.7,689239,7713.2
2016,North Dakota,ND,21310873,90368,90368,0,0,759,11.7,16177,481.7,5193,56.6,16,0.2,10941,72.5,5968,68.5,5193,56.6,67833,624.2
2016,Ohio,OH,158499977,1432591,1432122,0,0,7307,112.9,179212,6551.2,16879,398.4,421,5.7,274895,2310.1,24607,517,16879,398.4,871889,9421.4
2016,Oklahoma,OK,35304098,410358,244733,0,0,24,0.4,77759,2323.6,6414,98,3,0,53010,534.6,6441,98.4,6414,98,283354,2965
2016,Oregon,OR,38590755,423031,422300,0,0,1771,27.8,63372,1980.6,1881,44.1,240,3.1,42202,459.7,3892,75,1881,44.1,240102,2599.9
2016,Pennsylvania,PA,223028079,1563909,1031823,0,0,73049,1233.6,183829,7470,16909,469.4,1513,20.5,224764,2193.9,91471,1723.4,16909,469.4,897102,11485.8
2016,Rhode Island,RI,28288161,138167,138167,0,0,10893,175.9,10514,573.7,1182,43.7,29,0.4,17732,237.4,12105,220,1182,43.7,58108,1035.9
2016,South Carolina,SC,38140580,530111,482567,0,0,488,7.6,104460,3873.8,3805,118.5,196,2.6,28430,347.8,4488,128.7,3805,118.5,368439,4354.8
2016,South Dakota,SD,17392811,94369,86828,0,0,422,6.4,15759,529.6,4289,50.4,42,0.6,12312,88.6,4753,57.4,4289,50.4,66478,679.4
2016,Tennessee,TN,61632860,742210,671978,0,0,196,3.1,142533,4349.6,5776,112.2,248,3.4,61201,542.7,6220,118.6,5776,112.2,530408,5029.9
2016,Texas,TX,114768461,2626278,2231624,0,0,6,0.1,498060,16048.3,19585,457.5,7,0.1,180599,2056.6,19598,457.6,19585,457.5,1659264,18568.4
2016,Utah,UT,25848610,205055,168174,0,0,151,2,31973,1032.3,1546,31.7,3,0,66810,583,1701,33.8,1546,31.7,166317,1662.2
2016,Vermont,VT,20203171,76655,46909,0,0,10005,160.1,7016,357.1,5557,169.8,488,6.6,3602,49.8,16050,336.5,5557,169.8,42387,786
