State,Year,State_Year,Total_HDD,Total_CDD
MAINE,2018,MAINE 2018,3126,415.0
MAINE,2019,MAINE 2019,2890,260.0
MAINE,2020,MAINE 2020,2611,410.0
MAINE	     1231,1997,MAINE	     1231 1997,3184,
MARYIAND	      8,1997,MARYIAND	      8 1997,1869,
MARYLAND,1998,MARYLAND 1998,1636,1087
MARYLAND,1999,MARYLAND 1999,1692,1027
MARYLAND,2000,MARYLAND 2000,2087,910
MARYLAND,2001,MARYLAND 2001,1557,995
MARYLAND,2002,MARYLAND 2002,1911,1302
MARYLAND,2003,MARYLAND 2003,1712,948
MARYLAND,2004,MARYLAND 2004,1710,1101
MARYLAND,2005,MARYLAND 2005,1772,1193.0
MARYLAND,2006,MARYLAND 2006,1525,1138.0
MARYLAND,2007,MARYLAND 2007,1570,1336.0
MARYLAND,2008,MARYLAND 2008,1794,1099.0
MARYLAND,2009,MARYLAND 2009,1734,1040.0
MARYLAND,2010,MARYLAND 2010,1846,1511.0
MARYLAND,2011,MARYLAND 2011,1494,1416.0
MARYLAND,2012,MARYLAND 2012,1690,1341.0
MARYLAND,2013,MARYLAND 2013,1779,1175.0
MARYLAND,2014,MARYLAND 2014,1697,1014.0
MARYLAND,2015,MARYLAND 2015,1237,1295.0
MARYLAND,2016,MARYLAND 2016,1494,1490.0
MARYLAND,2017,MARYLAND 2017,1667,1246.0
MARYLAND,2018,MARYLAND 2018,1712,1476.0
MARYLAND,2019,MARYLAND 2019,1652,1502.0
MARYLAND,2020,MARYLAND 2020,1530,1264.0
MASSACHUSETTS,1997,MASSACHUSETTS 1997,259,437
MASSACHUSETTS,1998,MASSACHUSETTS 1998,2262,454
MASSACHUSETTS,1999,MASSACHUSETTS 1999,2156,586
MASSACHUSETTS,2000,MASSACHUSETTS 2000,2574,379
MASSACHUSETTS,2001,MASSACHUSETTS 2001,2008,557
MASSACHUSETTS,2002,MASSACHUSETTS 2002,2409,673
MASSACHUSETTS,2003,MASSACHUSETTS 2003,2237,519
MASSACHUSETTS,2004,MASSACHUSETTS 2004,2317,413
MASSACHUSETTS,2005,MASSACHUSETTS 2005,2272,637.0
MASSACHUSETTS,2006,MASSACHUSETTS 2006,2030,544.0
MASSACHUSETTS,2007,MASSACHUSETTS 2007,2268,610.0
MASSACHUSETTS,2008,MASSACHUSETTS 2008,2370,508.0
MASSACHUSETTS,2009,MASSACHUSETTS 2009,2368,376.0
MASSACHUSETTS,2010,MASSACHUSETTS 2010,2304,745.0
MASSACHUSETTS,2011,MASSACHUSETTS 2011,1863,626.0
MASSACHUSETTS,2012,MASSACHUSETTS 2012,2106,629.0
MASSACHUSETTS,2013,MASSACHUSETTS 2013,2374,657.0
MASSACHUSETTS,2014,MASSACHUSETTS 2014,2143,451.0
MASSACHUSETTS,2015,MASSACHUSETTS 2015,1775,646.0
MASSACHUSETTS,2016,MASSACHUSETTS 2016,1947,872.0
MASSACHUSETTS,2017,MASSACHUSETTS 2017,2163,605.0
MASSACHUSETTS,2018,MASSACHUSETTS 2018,2281,781.0
MASSACHUSETTS,2019,MASSACHUSETTS 2019,2304,587.0
MASSACHUSETTS,2020,MASSACHUSETTS 2020,2014,775.0
MICHIGAN,1998,MICHIGAN 1998,2219,724
MICHIGAN,1999,MICHIGAN 1999,2312,659
MICHIGAN,2000,MICHIGAN 2000,2750,495
MICHIGAN,2001,MICHIGAN 2001,2094,604
MICHIGAN,2002,MICHIGAN 2002,2534,841
MICHIGAN,2003,MICHIGAN 2003,2278,502
MICHIGAN,2004,MICHIGAN 2004,2388,463
MICHIGAN,2005,MICHIGAN 2005,2363,822.0
MICHIGAN,2006,MICHIGAN 2006,2349,593.0
MICHIGAN,2007,MICHIGAN 2007,2372,636.0
MICHIGAN,2008,MICHIGAN 2008,2681,437.0
MICHIGAN,2009,MICHIGAN 2009,2561,295.0
MICHIGAN,2010,MICHIGAN 2010,2561,731.0
MICHIGAN,2011,MICHIGAN 2011,2219,677.0
MICHIGAN,2012,MICHIGAN 2012,2407,771.0
MICHIGAN,2013,MICHIGAN 2013,2702,519.0
MICHIGAN,2014,MICHIGAN 2014,2604,379.0
MICHIGAN,2015,MICHIGAN 2015,1940,492.0
MICHIGAN,2016,MICHIGAN 2016,2099,761.0
MICHIGAN,2017,MICHIGAN 2017,2494,538.0
MICHIGAN,2018,MICHIGAN 2018,2535,762.0
MICHIGAN,2019,MICHIGAN 2019,2415,550.0
MICHIGAN,2020,MICHIGAN 2020,2346,677.0
